scenario,phi_deg,target_fill_factor,relative_to_ideal_swarm_same_eta,equivalent_ideal_ring_half_angle_deg,feasible,minimum_power_w,reflector_area_m2,reflector_side_m,pv_area_m2,structure_mass_kg,structure_areal_density_g_m2,system_areal_density_g_m2,sigma_limit_g_m2,margin_g_m2
perimeter_nominal,1.75,0.1,0.1,5.739170477266787,True,36424.57219205968,976.7552892103721,31.253084475142163,97.67552892103721,8.609876045021315,8.814772891561923,19.29477289156192,19.294772891561923,3.552713678800501e-15
cross_light,1.75,0.25,0.25,14.477512185929925,True,6798672.638164331,72924.83133552862,270.04598003956403,18231.207833882156,43.37371280009806,0.5947728915619254,19.294772891561923,19.294772891561923,0.0
cross_nominal,1.75,0.25,0.25,14.477512185929925,True,8216018.696942045,88127.75810982741,296.8631976345795,22031.939527456852,52.41600151785197,0.5947728915619254,19.294772891561923,19.294772891561923,0.0
perimeter_nominal,1.75,0.25,0.25,14.477512185929925,True,15936797.545754215,170943.4083542502,413.4530304088364,42735.85208856255,101.67250528030839,0.5947728915619254,19.294772891561927,19.294772891561923,-3.552713678800501e-15
cross_light,1.75,0.5,0.5,29.999999999999996,False,,,,,,,,,
cross_nominal,1.75,0.5,0.5,29.999999999999996,False,,,,,,,,,
perimeter_nominal,1.75,0.5,0.5,29.999999999999996,False,,,,,,,,,
cross_light,2.0,0.01,0.01,0.5729673448571527,True,1034.3177987020874,277.36094614363833,16.654157022906872,2.7736094614363833,3.1440887771157886,11.335729924599923,16.883729924599923,16.883729924599923,0.0
cross_nominal,2.0,0.01,0.01,0.5729673448571527,True,1454.06650845866,389.92006426646896,19.746393702812394,3.8992006426646895,4.420028540707337,11.335729924599923,16.883729924599926,16.883729924599923,-3.552713678800501e-15
perimeter_nominal,2.0,0.01,0.01,0.5729673448571527,True,2332.136191368252,625.3817747170264,25.00763432868104,6.253817747170264,7.089158897959203,11.335729924599923,16.883729924599923,16.883729924599923,0.0
cross_light,2.0,0.05,0.05,2.8659839825988622,True,7522.306108964809,403.4338270467082,20.085662225744716,20.17169135233541,3.6888899569628553,9.143729924599922,16.883729924599923,16.883729924599923,0.0
cross_nominal,2.0,0.05,0.05,2.8659839825988622,True,10367.097766470848,556.0047499675983,23.579752966636402,27.800237498379914,5.083957270498425,9.143729924599922,16.883729924599923,16.883729924599923,0.0
perimeter_nominal,2.0,0.05,0.05,2.8659839825988622,True,17056.69408440331,914.7789616052657,30.24531305186418,45.73894808026329,8.364491765624512,9.143729924599922,16.883729924599923,16.883729924599923,0.0
cross_light,2.0,0.1,0.1,5.739170477266787,True,28447.200430720623,762.8354105965617,27.61947520494482,76.28354105965617,4.884991946381671,6.403729924599923,16.883729924599923,16.883729924599923,0.0
cross_nominal,2.0,0.1,0.1,5.739170477266787,True,38034.037489093185,1019.9144437884653,31.936099382806056,101.99144437884654,6.531256644219881,6.403729924599923,16.883729924599923,16.883729924599923,0.0
perimeter_nominal,2.0,0.1,0.1,5.739170477266787,True,65040.685572094015,1744.120241452292,41.762665641123675,174.41202414522922,11.168874982288486,6.403729924599923,16.883729924599923,16.883729924599923,0.0
cross_light,2.0,0.25,0.25,14.477512185929925,False,,,,,,,,,
cross_nominal,2.0,0.25,0.25,14.477512185929925,False,,,,,,,,,
perimeter_nominal,2.0,0.25,0.25,14.477512185929925,False,,,,,,,,,
cross_light,2.0,0.5,0.5,29.999999999999996,False,,,,,,,,,
cross_nominal,2.0,0.5,0.5,29.999999999999996,False,,,,,,,,,
perimeter_nominal,2.0,0.5,0.5,29.999999999999996,False,,,,,,,,,
